"ID","NAM","LON","LAT","ALT"
"id_109016","AIJA",-77.606739,-9.781644,3486
"id_110049","CAJACAY",-77.4336111111111,-10.1502777777778,2599
"id_109019","CHAVIN",-77.175261,-9.585983,3140
"id_110018","CHIQUIAN",-77.15949,-10.14763,3414
"id_109049","COTAPARACO",-77.5836111111111,-9.98361111111111,3008
"id_109023","HUALLANCA",-76.9502777777778,-9.88361111111111,3260
"id_109068","HUARAZ",-77.5315833333333,-9.53422222222222,3052
"id_109041","LAGUNA_UTUTO",-77.5002777777778,-9.68361111111111,4200
"id_110040","MAYORARCA",-77.348892,-10.157753,3335
"id_109039","MILPO",-77.2336111111111,-9.88361111111111,4400
"id_110046","PARARIN",-77.5336111111111,-10.0502777777778,3416
"id_109048","PIRA",-77.70719,-9.58528,3720
"id_109009","SANTIAGO_ANTUNEZ_DE_MAYOLO",-77.524861,-9.516528,3079
"id_110047","TAPACOCHA",-77.5669444444444,-10.0002777777778,3599
